category,question_en,answer_en,question_fr,answer_fr
methods_sites,Are any measurements taken directly on lakes?,"Snow depth and snow water equivalent (SWE) measurements on lakes started in 2018 and are available at many remote sites in the North Slave region. Lake survey data are listed in separate tables from upland surveys. These can be viewed in the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a>
",Est-ce que des mesures sont effectuées directement sur les lacs?,"Les mesures de profondeur de neige and l’équivalent en eau de la neige (EEN) sur les lacs ont commencé en 2018 et sont disponibles pour plusieurs sites éloignés de la région du Slave Nord. Les données des relevés sur les lacs sont présentées dans des tableaux distincts de ceux des relevés en terres hautes, dans le  <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a>"
map,Why are some sites on the map in some years but not in others?,"<p>Some sites are inactive or decommissioned due to safety, logistical, or program changes. The map dynamically updates to show only sites with available data for the selected year.</p>
<p>A complete record of active and inactive sites between 1965-2024 is available in the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a> </p>","Pourquoi certains sites apparaissent-ils sur la carte certaines années, mais pas d’autres?","Certains sites sont inactifs ou ont été désactivés pour des raisons de sécurité, de logistique ou en raison de changements dans le programme. La carte se met à jour dynamiquement pour afficher uniquement les sites pour lesquels des données sont disponibles pour l’année sélectionnée.
L’ensemble des sites actifs et inactifs entre 1965 à 2024 est présenté dans le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a>"
map,What do the different colours on the interactive map represent?,"<p>Colours on the interactive map indicate snow water equivalent (SWE) values for each site as a percentage of the long-term average of that site for the selected year. </p>
<ul>
<li> <b>Blue</b> = Above average </li>
<li><b>Yellow</b> = Near average </li>
<li><b>Red</b> = Below average </li>
</ul>",Que représent les différentes coleurs sur la carte interactive?,"<p>Les couleurs indiquent l'equivalent en eau de la neige (EEN) pour chaque site, exprimé en pourcentage de la moyenne à long terme de ce site pour l'année sélectionnée</p>
<ul>
<li><b>Bleu</b> = Supérieur à la moyenne</li>
<li><b>Jaune</b> = Près de la moyenne</li>
<li><b>Rouge</b> = Inférieur à la moyenne</li>
</ul>"
map,"What is the ""Last Updated"" date on the map?",This date indicates when data were last added to the Explorer. Note that this is not when the Explorer itself was last updated.,Que signifie la date « Dernière mise à jour » sur la carte?,"Cette date indique le moment où les données ont été ajoutées pour la dernière fois à l’explorateur.
Veuillez noter qu’elle ne correspond pas à la dernière mise à jour de l’explorateur elle-même."
map,What are the basins outlined on the map?,Basins represent major drainage areas. You can toggle basin boundaries on and off using map controls by clicking the layers icon in the top right of the map.,Que représentent les bassins délimités sur la carte?,Les bassins représentent les principales zones de drainage. Vous pouvez afficher ou masquer leurs limites en cliquant sur l’icône des couches dans le coin supérieur droit de la carte.
map,What is Snow Water Equivalent (SWE)?,"Snow Water Equivalent (SWE) is the depth of water available within a snowpack, usually expressed in mm. End-of-season SWE represents the maximum water availability resulting from snowmelt during the spring.
",C'est quoi l’équivalent en eau de la neige (EEN)?,"L’équivalent en eau de la neige (EEN) correspond à la profondeur d'eau contenue dans le manteau neigeux, généralement exprimée en millimètres (mm). L'EEN de fin de saison représente la quantité maximale d'eau disponsible provenant de la fonte de la neige au printemps.

"
map,How are the data summarised on the interactive map?,"The interactive map displays Snow Water Equivalent (SWE) values summarized as a percentage of the long-term average for each site, based on the year selected. These values are calculated from the snow survey measurements after applying the quality control procedures described in the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a>",Comment les données sont-elles résumées sur la carte interactive?,"La carte interactive présente les valeurs de l’équivalent en eau de la neige (EEN) sous forme de pourcentage de la moyenne à long terme pour chaque site, selon l’année sélectionnée. Ces valeurs sont calculées à partir des mesures de terrain après l’application des contrôles de qualité décrits dans le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a>"
other,What is the Open Data Report (2025) and how can I access it?,"<p>The <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025) </a>  referenced in this Explorer is titled “Northwest Territories Snow Survey Data and Methodology, 1965–2024”. It is an open data publication, prepared by the Department of Environment and Climate Change (ECC) and the Northwest Territories Geological Survey (NTGS), and contains snow survey data collected across the Northwest Territories between 1965 and 2024. The report includes mean daily and point snow survey data, snow survey methodology, data quality control processes, and site metadata. This Explorer includes the same information, with the addition of more recent (2024-present) snow survey data.</p>
<p style=""font-size: 1.1em; font-weight: bold;""> The <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025) </a> is available as a downloadable zipped file containing: </p>
<ul>
<li> <a href='NWT Open Report 2025-005.pdf' target='_blank'> NWT Open Report 2025-005.pdf </a> - the written report </li>
<li> <a href='README.pdf' target='_blank'> README.pdf </a> - file and field descriptions for the open data report contents  </li>
<li> <b>point_data.csv </b>- Raw point measurements of snow water equivalent (SWE) and snow depth collected by manual snow surveys (1965-2024). </li>
<li> <b>mean_daily_data.csv </b>- Mean values for each site and measurement date, calculated by taking an average of all point data.  </li>
<li> <b> sites.csv </b> - Additional information pertaining to the locations where snow surveys have been performed. </li>
<li> <b> flags.csv </b> - Description of data flags and recommendation action to take for each flag     </li>
<li> <b> instruments.csv </b> - Metadata of snow survey instruments   </li>
</ul>",C'est quoi le rapport sur les données ouvertes (2025) et comment puis-je y accéder?,"<p>Le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025) </a>, préparé par le ministère de l’Environnement et du Changement climatique (ECC) et la Commission géologique des Territoires du Nord-Ouest (CGTNO), est publié sous le titre anglais « Northwest Territories Snow Survey Data and Methodology, 1965–2024 ». <b> Le rapport est disponible en anglais seulement. </b> Le rapport contient des données de relevés nivométriques recue </p>

<p>Il s’agit d’une publication de données ouvertes présentant les relevés nivométriques effectués à travers les Territoires du Nord-Ouest entre 1965 et 2024. Le rapport comprend des données moyennes quotidiennes et des données ponctuelles de relevés nivométriques, la méthodologie des relevés nivométriques, les processus de contrôle de la qualité et les métadonnées des sites. Cet Explorateur inclut les mêmes renseignements, avec l’ajout de données plus récentes (2024 à aujourd’hui).</p>

<p style=""font-size: 1.1em; font-weight: bold;""> Le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025)  </a> est disponible sous forme de trousse téléchargeable qui comprend: </p>

<a href='https://doi.org/10.46887/2025-005' target='_blank'> Ensemble complet du rapport </a>, qui comprend :
<ul>
<li> <a href='NWT Open Report 2025-005.pdf' target='_blank'> NWT Open Report 2025-005.pdf </a> - le rapport écrit </li>
<li> <a href='README.pdf' target='_blank'> README.pdf </a> - Descriptions des fichiers contenus dans la publication.  </li>
<li> <b>point_data.csv </b> - Mesures ponctuelles brutes de l’équivalent en eau de la neige (EEN) et de l’épaisseur de neige recueillies lors des relevés (1965–2024).</li>
<li> <b>mean_daily_data.csv </b> - Valeurs moyennes pour chaque site et date de mesure, calculées à partir des données ponctuelles brutes.  </li>
<li> <b> sites.csv </b> - Informations supplémentaires sur les emplacements où les relevés de neige ont été effectués. </li>
<li> <b> flags.csv </b> - description des indicateurs de données et recommandation concernant l’action à prendre pour chaque indicateur.*  </li>
<li> <b> instruments.csv </b> - Métadonnées des instruments utilisés pour les relevés.*  </li>
</ul>
<p><small> * Aussi disponsibles dans cet Explorateur (en français) dans l’onglet <b>Téléchargement</b> sous forme de documents de référence rapide.</small></p>
"
other,Where can I find related reports and datasets?,"<p>The full dataset between 1965-2024 and additional information can be found in the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025) </a> </p>

<p>Summary values are included in the <a href='https://www.gov.nt.ca/ecc/en/services/snow_monitoring' target='_blank'>NWT Spring Water Level Outlook</a> each year. </p>

<p>Summarised data are also available via the CanSWE dataset compiled by <a href='https://doi.org/10.5194/essd-13-4603-2021' target='_blank'>Vionnet et al. (2021)</a> </p>",Où puis-je trouver des rapports et ensembles de données connexes?,"<o> Le jeu de données complet couvrant la période de 1965 à 2024, ainsi que des renseignements supplémentaires, se trouvent dans le<a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a> </p>

<p>Les valeurs résumées sont incluses dans les <a href='https://www.gov.nt.ca/ecc/fr/services/gestion-et-suivi-de-leau/apercu-des-niveaux-deau-printaniers' target='_blank'>l'aperçu des niveaux d'eau printaniers aux TNO</a> chaque année.</p>

<p>Les données sommaires sont également disponibles via le jeu de données CanSWE compilé par <a href='https://doi.org/10.5194/essd-13-4603-2021' target='_blank'>Vionnet et al. (2021)</a>.</p>"
other,What is the purpose of this Data Explorer,"This Explorer is a visual and interactive companion to the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025) </a>, prepared by ECC and NTGS, GNWT. It allows users to explore, visualize, and download snow survey data from across the NWT. All methods, metadata, and quality control information are consistent with the <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025). </a> This Explorer also includes more recent snow survey data (2024-present), which will continue to be updated annually as new surveys are completed. ",Quel est l'objectif de cet Explorateur?,"Cet Explorateur est un outil visuel et interactif qui accompagne le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025) </a>, préparé par le GTNO-ECC et le CGTNO. Elle permet aux utilisateurs d’explorer, de visualiser et de télécharger les données des relevés de neige à travers les TNO. Toutes les méthodes, métadonnées et informations sur le contrôle de la qualité sont conformes au <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes (2025). </a> Cet Explorateur inclut également des données de relevés nivométriques plus récentes (2024-present), qui continueront d’être mises à jour chaque année à mesure que de nouveaux relevés seront effectués.
"
other,What is the recommended citation for this Explorer?,"<p><b>The recommended citation for this Explorer is:</b>  </p>
<ul> Auclair, M., Gregory, E., and Connon, R . (2026). NWT Snow Data Explorer (Version {{VERSION}})  [Shiny app]. Environment and Climate Change; Government of Northwest Territories. URL</ul>
<br/><br/>
<p> For any data <b>including and up to 2024, </b>refer to the  <a href='https://doi.org/10.46887/2025-005' target='_blank'> Open Data Report (2025)</a>, which can be cited as: </p>
<ul> Riley, E., Kokelj, S.A., Connon, R.F., and Reid, R.J., 2025. Northwest Territories snow survey data and methodology, 1965-2024, Environment and Climate Change - Water Monitoring and Stewardship Division; Northwest Territories Geological Survey, NWT Open Report 2025-005, 17 pages and digital data. https://doi.org/10.46887/2025-005 </ul>",Quelle est la citation recommandée pour cet Explorateur ?,"<p><b>La citation recommandée pour cet Explorateur est: </b></p>
<ul> Auclair, M., Gregory, E., and Connon, R . (2026). Explorateur des Données Nivométriques TNO (Version {{VERSION}})  [Shiny app]. Environment et Changement Climatique; Government des Territoires du Nord-Ouest. URL. </ul> 
<br/><br/>
<p> Pour toute données <b>jusqu’à et incluant 2024,</b> veuillez consulter le <a href='https://doi.org/10.46887/2025-005' target='_blank'> Rapport sur les données ouvertes  (2025)</a>, qui peut être cité comme suit: </p>
<ul> Riley, E., Kokelj, S.A., Connon, R.F., and Reid, R.J., 2025. Northwest Territories snow survey data and methodology, 1965-2024, Environment and Climate Change - Water Monitoring and Stewardship Division; Northwest Territories Geological Survey, NWT Open Report 2025-005, 17 pages and digital data. https://doi.org/10.46887/2025-005 </ul>"
other,Who should I contact for more information?,"Contact NWTHydrology-HydrologieTNO@gov.nt.ca"" for additional information or inquiries",Qui dois-je contacter pour obtenir plus d'informations?,"Pour plus d'information ou pour toute demande, veuillez écrire à NWTHydrology-HydrologieTNO@gov.nt.ca"""
